id|标题|年份|一句话|图片文件名(序号:名)
printing_song|活字印刷 · 毕昇|1040|活字问世,信息复制成本再次崩塌。|0:Metal_movable_type.jpg ;; 1:Die_Buchdruckerei_by_Daniel_Chodowiecki_(150289207).jpg ;; 2:活字《佛说观无量寿佛经》残叶.jpg
renaissance|文艺复兴|1450|重新发现古典,人成为万物的尺度。|0:"The_School_of_Athens"_by_Raffaello_Sanzio_da_Urbino.jpg ;; 1:Da_Vinci_Vitruve_Luc_Viatour.jpg ;; 2:Michelangelo's_David_2015.jpg
gutenberg|古腾堡印刷术|1450|金属活字让思想以病毒速度传播——宗教改革与科学革命的助燃剂。|0:Gutenberg.jpg ;; 1:Johannes_Gutenberg.jpg ;; 2:Gutenberg_Bible,_Lenox_Copy,_New_York_Public_Library,_2009._Pic_01.jpg
reformation|宗教改革 · 马丁·路德|1517|一张抗议贴上教堂门,基督教世界从此分裂,个人直面上帝。|0:95Thesen.jpg ;; 1:Calvin.png
scirev|科学革命 · 哥白尼—伽利略—牛顿|1687|用数学与实验改写宇宙,知识的权威从教会转向自然。|0:Libr0310.jpg ;; 1:NewtonsPrincipia.jpg ;; 2:Maquina_vapor_Watt_ETSIIM.jpg
westphalia|威斯特伐利亚体系|1648|现代主权国家体系的出生证。|0:Münster,_Historisches_Rathaus_--_2014_--_6855.jpg
enlighten|启蒙运动|1750|理性、自由、进步——一套至今仍在争论的现代价值操作系统。|0:Sanzio_01_cropped.png
smith|《国富论》 · 亚当·斯密|1776|看不见的手,把自利讲成公共繁荣的引擎——资本主义的圣经。|0:Wealth_of_Nations.jpg ;; 1:Wealth_of_Nations.jpg ;; 2:The_Wealth_of_Nations.jpg
industrial|工业革命|1769|蒸汽与工厂,人类第一次挣脱农业增长的天花板。|0:Maquina_vapor_Watt_ETSIIM.jpg ;; 1:Watt_James_von_Breda.jpg
amrev|美国革命|1776|把启蒙理念写成一份建国文件。|0:AmericanRevolutionaryWarMon.jpg ;; 1:Boston_tea_party.jpg ;; 2:Military_Costume_of_the_Revolution_(1855_Chromolithograph).jpg
frrev|法国大革命|1789|自由平等博爱与断头台,现代政治的原型剧。|0:Anonymous_-_Prise_de_la_Bastille.jpg ;; 1:Parliaments_and_Sovereign_Councils_of_the_Kingdom_of_France_in_1789_(fr).png ;; 2:Troisordres.jpg
napcode|拿破仑法典|1804|把革命成果固化为一部可输出的民法典。|0:Code_Civil_1804.png
romantic|浪漫主义|1800|对启蒙理性的反弹,歌颂情感、自然与民族。|0:Caspar_David_Friedrich_-_Wanderer_above_the_sea_of_fog.jpg ;; 1:Delacroix_-_La_Mort_de_Sardanapale_(1827).jpg ;; 2:William_Blake_-_Songs_of_Innocence_and_of_Experience,_Plate_35,_"The_Little_Girl_Found"_(Bentley_36)_-_Google_Art_Project_(cropped).jpg
darwin|进化论 · 达尔文|1859|自然选择,把人类拉回生命之树——一场神学地震。|0:Darwin's_finches_by_Gould.jpg ;; 1:Lucretius_Rome.jpg ;; 2:Charles_Darwin_aged_51.jpg
marx|马克思主义 · 《资本论》|1867|把历史读成阶级斗争,一套预言,和一场持续百年的实验。|0:Karl_Marx_001.jpg
maxwell|电磁学 · 法拉第—麦克斯韦|1865|把电与磁写成方程,第二次工业革命的地基。|0:Lightning.0257.jpg ;; 1:Charles_de_Coulomb.png ;; 2:Ampere_Andre_1825.jpg
modernart|现代主义艺术 · 毕加索—杜尚|1907|打碎透视与再现,艺术从"画什么"转向"什么是艺术"。|0:NYC_-_Guggenheim_Museum.jpg
worldwars|两次世界大战|1914|工业化战争,旧帝国崩解,世界权力彻底洗牌。|0:Gari-Melchers-War-Highsmith.jpeg ;; 1:WWI.png ;; 2:Map_of_participants_in_World_War_II.png
penicillin|抗生素 · 青霉素|1928|感染不再是死刑,人类寿命就此跃升。|0:Penicillin_core.svg ;; 1:Benzylpenicillin-3D-balls.png ;; 2:Penicillin-F-2D-skeletal.png
turing|计算机 · 图灵|1936|可计算性与通用机器,信息时代的蓝图。|0:Alan_turing_header.jpg ;; 1:KingsCollegeChapel.jpg ;; 2:AlanTuring-Bletchley.jpg
nuke|核武器 · 曼哈顿计划|1945|人类第一次握有自我毁灭的能力。|0:Trinity_shot_color.jpg ;; 1:Manhattan_Project_emblem.png ;; 2:Lawrence_Compton_Bush_Conant_Compton_Loomis.jpg
existential|存在主义 · 萨特—加缪|1945|神死之后,人被判处自由。|0:Kierkegaard-Dostoyevsky-Nietzsche-Sartre.jpg ;; 1:Sisyphus_by_von_Stuck.jpg
dna|DNA 双螺旋|1953|读懂遗传的分子密码,生命科学的世纪由此开幕。|0:DNA_Structure+Key+Labelled.pn_NoBB.png ;; 1:DNA_in_the_cell-2.jpg ;; 2:DNA_chemical_structure_zh.png
coldwar|冷战|1947|两种制度、两种未来的四十年对峙。|0:NATO_vs._Warsaw_Pact_(1949-1990).svg ;; 1:West_and_East_Germans_at_the_Brandenburg_Gate_in_1989.jpg ;; 2:Raising_a_flag_over_the_Reichstag_-_Restoration.jpg
internet|互联网与万维网|1991|信息以近乎零成本流动,连接与撕裂同源。|0:Chrome_on_Linux.png ;; 1:First_Web_Server.jpg ;; 2:Internet_Key_Layers.png
reform_cn|改革开放与东亚崛起|1978|数亿人脱贫,世界经济重心加速东移。|0:2011_深圳_莲花山顶－邓小平头像_-_panoramio.jpg ;; 1:庆祝中国共产党成立100周年北京长安街沿线立体花坛_改革开放.jpg ;; 2:Silk_Road_1992_(4367437041)_Market_in_Xinjiang,_1992.jpg
ai|人工智能|2012|机器开始学习、生成与推理——一个新变量进入所有领域。|0:Dall-e_3_(jan_'24)_artificial_intelligence_icon.png ;; 1:Kismet_robot_at_MIT_Museum.jpg ;; 2:Vice_President_Harris_at_the_group_photo_of_the_2023_AI_Safety_Summit.jpg
climate|气候变化与人类世|2000|人类成了地质力量,文明第一次要为自己的副作用负责。|0:BlackMarble20161km.jpg
art_chauvet|肖维岩洞壁画|-30000|肖维岩洞壁画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Chauvethorses.jpg ;; 1:Chauvethorses.jpg ;; 2:Paintings_from_the_Chauvet_cave_(museum_replica).jpg
art_lascaux|拉斯科洞窟壁画|-17000|拉斯科洞窟壁画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Lascaux_painting.jpg ;; 1:Lascaux_entrance.jpg ;; 2:Lascaux-IV_01.jpg
art_altamira|阿尔塔米拉洞窟壁画|-14500|阿尔塔米拉洞窟壁画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Techo_de_Altamira_(replica)-Museo_Arqueológico_Nacional.jpg ;; 1:Altamira-1880.jpg ;; 2:Reproduction_cave_of_Altamira_01.jpg
art_jomon|绳纹陶器|-10000|绳纹陶器把材料、技法与观看方式接在一起，留下超越时代的回声。|0:JomonStatue.JPG ;; 1:JomonStatue.JPG ;; 2:Late_Jomon_clay_statue_Kazahari_I_Aomoriken_1500BCE_-_1000BCE.jpg
art_tassili|阿杰尔高原岩画|-6000|阿杰尔高原岩画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Tassili_n’Ajjer_National_Park_NASA_Landsat_7_(2000).jpg
art_egypt_tomb|古埃及墓室壁画|-2600|古埃及墓室壁画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Statuette_of_the_lady_Tiye_MET_DT221869.jpg ;; 1:Ägyptisches_Museum_Kairo_2016-03-29_Ka-aper_01.jpg ;; 2:Aswan,_Egypt_WestBankTombs_2007jan15._14_byDanielCsorfoly.JPG
eco_indus_weights|度量衡 · 印度河谷标准化|-2600|没有破译的文字也没留下王名,却留下一整套精确到克的砝码。|0:Indus_Valley_Civilization,_Mature_Phase_(2600-1900_BCE).png ;; 1:Mohenjo-daro.jpg ;; 2:Harappan_small_figures.jpg
art_indus_seals|印度河印章|-2500|印度河印章把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Indus_Valley_Civilization,_Mature_Phase_(2600-1900_BCE).png ;; 1:Mohenjo-daro.jpg ;; 2:Harappan_small_figures.jpg
eco_pyramid_labor_economy|金字塔劳役经济 · 古埃及动员|-2560|建金字塔的不是奴隶大军,而是国家按季节征调、供饭发薪的轮班工匠。|0:Pyramids_of_the_Giza_Necropolis.jpg ;; 1:All_Gizah_Pyramids-3.jpg
art_qin_bronze|商周青铜器|-1600|商周青铜器把材料、技法与观看方式接在一起，留下超越时代的回声。|0:亞醜方鼎.jpg ;; 1:Square_zun_with_four_sheep_01.jpg ;; 2:Xinmang_jialiang.JPG
sci_egypt_papyrus|外科医学 · 埃德温·史密斯纸草|-1600|不求神谕只查体征——一份纸草手册把外伤诊治写成了可复制的步骤。|0:Edwin_Smith_Papyrus_v2.jpg
eco_mycenae_linear_b|王室记账 · 迈锡尼线形文字B|-1400|破译出的第一批希腊文字,写的不是诗也不是法律,而是宫殿的库存清单。|0:NAMA_Linear_B_tablet_of_Pylos.jpg
eco_shell_knife_money|贝币与刀布 · 商周货币|-1200|海贝从装饰品变成计数单位,稀缺可数比有用更早决定了什么能当钱。|0:Cypraea_Moneta_Unearthed_in_Shaoxing_2012-07.JPG ;; 1:Monetaria_moneta_01.JPG ;; 2:Shell_Money,Baoji_Bronze_Ware_Museum.jpg
eco_phoenician_trade|腓尼基-迦太基地中海商网|-814|没有大帝国的腹地,靠殖民港口串成的商业网也能主宰地中海几百年。|0:Amilcar,_Carthage,_Tunisia_-_panoramio_(15).jpg
pol_carthage_republic|迦太基寡头共和政制|-400|没有国王的商业帝国:两名年选长官加元老院互相牵制。|0:Amilcar,_Carthage,_Tunisia_-_panoramio_(15).jpg
art_greek_vase|古希腊瓶画|-700|古希腊瓶画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Athena_Herakles_Staatliche_Antikensammlungen_2301_A_full.jpg
sci_babylon_astronomy|巴比伦天文观测记录|-700|祭司们记了三百年星象,意外攒出了第一份能预测未来的数据库。|0:Babylonian_tablet_recording_Halley's_comet.jpg
eco_lydia_coin|铸币 · 吕底亚金银币|-600|把贵重金属切成标准小块并盖上王室印记,交易第一次不用再称重验色。|0:Kingdom_of_Lydia.png ;; 1:BMC_06.jpg ;; 2:Lydia_original_area_of_lydia.jpg
art_nok|诺克陶塑|-500|诺克陶塑把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Verbreitung_Nok-Kultur-en.png
art_parthenon|帕特农神庙|-447|帕特农神庙把材料、技法与观看方式接在一起，留下超越时代的回声。|0:The_Parthenon_in_Athens.jpg ;; 1:Parthenon_XL.jpg ;; 2:Athena_Parthenos_The_Parthenon_Nashville.jpg
sci_hippocrates|医学 · 希波克拉底|-400|把疾病归因于体液失衡而非神罚,医生第一次开始对病人负责。|0:Hippocrates_pushkin02.jpg ;; 1:Kos_Asklepeion.jpg ;; 2:HippocraticBench.png
sci_euclid|几何学 · 欧几里得|-300|从五条公理推出整座几何大厦,证明的方法比结论本身更改变世界。|0:Byrne_82_diagram_1.svg
sci_dujiangyan|水利工程 · 都江堰|-256|不筑坝拦水,而是顺势分流——两千多年后它还在给成都平原供水。|0:36661-Dujiangyan_(44634340644).jpg
sci_archimedes|力学与数学 · 阿基米德|-250|泡个澡就想通了浮力原理,顺手把杠杆变成了能撬动战争的武器。|0:Domenico-Fetti_Archimedes_1620.jpg ;; 1:Death_of_Archimedes.png ;; 2:Cicero_Discovering_the_Tomb_of_Archimedes_by_Benjamin_West.jpeg
sci_eratosthenes|地球测量 · 埃拉托斯特尼|-240|比较两口井的日影角度,他在没有卫星的时代量出了地球有多大。|0:Portrait_of_Eratosthenes.png
eco_qin_standard_currency|半两钱 · 秦统一货币度量衡|-221|统一文字车轨之外,秦始皇也不许六国旧钱再流通,国家先从钱袋子开始统一。|0:半兩錢.jpg ;; 1:S-88_or_82,_W_Han_banliang,_Empress_Gao,_187-180,_34mm.jpg ;; 2:S-93_W_Han_banliang,_Wendi,_179-157_BC,_24mm.jpg
art_nazca|纳斯卡线条|-200|纳斯卡线条把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Líneas_de_Nazca,_Nazca,_Perú,_2015-07-29,_DD_55.JPG ;; 1:Líneas_de_Nazca,_Nazca,_Perú,_2015-07-29,_DD_54.JPG ;; 2:Líneas_de_Nazca,_Nazca,_Perú,_2015-07-29,_DD_61.JPG
art_han_tomb|汉代画像石|-200|汉代画像石把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Wu_Family_Shrine_chariots_and_horses.jpg ;; 1:HanMural2.JPG
sci_hipparchus|天文学 · 喜帕恰斯|-150|编了一份星表还发现星星在缓慢挪位,春分点比人以为的更会跑。|0:Hipparchus_by_Raphael.jpg
sci_solar_terms|历法 · 二十四节气|-104|把太阳一年的路程切成24段,种地的人从此有了一张精确的时间表。|0:24solarterms.png ;; 1:二十四节气令鼓_202405051009.jpg
sci_zhoubi|数学 · 《周髀算经》|-100|用一根立竿量日影,中国最早的数学书顺手证明了勾三股四弦五。|0:周髀算經.jpg ;; 1:Rigaotu1213CE.png ;; 2:Qihengtu1213CE.png
sci_hero|工程学 · 希罗的蒸汽转球|50|他造出了会转的蒸汽球,却只把它当成神庙里逗人开心的玩具。|0:Hero_of_Alexandria.png ;; 1:Aeolipile_illustration.png
art_moche|莫切陶器|100|莫切陶器把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Mapa_cultura_moche.png ;; 1:Mapa_cultura_moche.png
art_hopewell|霍普韦尔艺术|100|霍普韦尔艺术把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Hopewell_Exchange_Network_HRoe_2010.jpg
art_gandhara|犍陀罗佛像|100|犍陀罗佛像把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Gandharan_-_Seated_Buddha_in_the_Attitude_of_Preaching_-_Walters_25123.jpg
sci_nine_chapters|数学 · 《九章算术》|100|一本写给税吏和工程师的应用题集,悄悄给出了负数和线性方程组解法。|0:九章算術細草圖說.jpg
sci_zhangheng|天文仪器 · 张衡地动仪与浑天仪|132|京城的人还没感觉到地震,他造的铜壶已经先吐出了一颗铜球。|0:PSM_V29_D320_Ancient_chinese_choko_seismoscope_from_136_a_d.jpg ;; 1:EastHanSeismograph.JPG ;; 2:South-pointing_chariot_(Science_Museum_model).jpg
sci_ptolemy|天文学 · 托勒密天文学大成|150|一套算错了方向的地心模型,却精准到让人信了一千四百年。|0:Almagest_1.jpeg ;; 1:Almagest_1.jpeg ;; 2:Cassini_apparent.jpg
sci_galen|医学 · 盖伦|180|靠解剖猴子和猪推断人体构造,猜错的地方也被当真理供了一千多年。|0:Galen_detail.jpg
art_ajanta|阿旃陀石窟壁画|200|阿旃陀石窟壁画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Meister_des_Mahâjanaka_Jâtaka_001.jpg
sci_zhangzhongjing|医学 · 张仲景《伤寒杂病论》|200|一场家族瘟疫死了大半,他把治病经验写成了后世医生人手一册的方子书。|0:Chinese_woodcut,_Famous_medical_figures;_Zhang_Zhongjing_Wellcome_L0039319.jpg
sci_huatuo|医学 · 华佗麻沸散|200|在乙醚问世前一千六百年,他已经能让病人无痛挨这一刀。|0:汉名医华佗.jpg
art_maya_stela|玛雅石碑艺术|250|玛雅石碑艺术把材料、技法与观看方式接在一起，留下超越时代的回声。|0:MAYA-g-log-cal-D10-Ok_b.svg ;; 1:Stele51CalakmulMuseum.JPG ;; 2:Copan_St_H.jpg
sci_diophantus|代数学 · 丢番图|250|专攻只要整数解的方程,他的名字后来成了数论一整类难题的代号。|0:Diophantus-cover.jpg ;; 1:Diophantus-cover.jpg
eco_aksum_coinage|阿克苏姆铸币 · 红海贸易国|270|撒哈拉以南第一个自己铸钱的王国,靠象牙和黄金把远方的罗马也牵动起来。|0:LocationAksumiteEmpire-es.svg ;; 1:Ethio_w4.jpg
pol_axum_polity|阿克苏姆政教合一|330|国王一声令下皈依,整个红海贸易国就换了国教。|0:LocationAksumiteEmpire-es.svg ;; 1:Ethio_w4.jpg
art_dunhuang|敦煌莫高窟|366|敦煌莫高窟把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Dunhuang_Mogao_Ku_2013.12.31_12-30-18.jpg ;; 1:Mogao_Cave_61,_painting_of_Mount_Wutai_monasteries.jpg ;; 2:Mona_Lisa_Buddha_(27023604587).jpg
art_chinese_landscape|中国山水画|400|中国山水画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Guo_Xi_-_Early_Spring_(large).jpg ;; 1:Fan_Kuan_-_Travelers_Among_Mountains_and_Streams_-_Google_Art_Project.jpg ;; 2:Li_Tang_-_Wind_in_Pines_Among_a_Myriad_Valleys.jpg
sci_zuchongzhi|数学 · 祖冲之圆周率|480|把圆周率算到小数点后七位,这个纪录在世界上保持了将近一千年。|0:祖冲之铜像.jpg ;; 1:昆山亭林公园祖冲之像.jpg ;; 2:祖冲之路+哈雷路,_上海市北蔡镇.jpg
art_persian_carpet|波斯地毯|500|波斯地毯把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Mantes_carpet_Louvre_OA6610_detail1.jpg ;; 1:Ghyas_el_Din_Jami_-_Tabriz_(?)_-_Google_Art_Project.jpg ;; 2:Unknown,_Iran,_16th_Century_-_The_Schwarzenberg_Carpet_-_Google_Art_Project.jpg
art_byzantine_mosaic|拜占庭镶嵌画|537|拜占庭镶嵌画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Byzantine_church_in_Nahariya_-_Peacocks_Mosaic.jpg ;; 1:Christ_Pantocrator_Deesis_mosaic_Hagia_Sophia.jpg ;; 2:Encaustic_Virgin.jpg
eco_grand_canal|大运河 · 隋炀帝漕运|605|一条人工河把江南的米粮接到北方都城,谁控制运河谁就控制帝国的粮袋。|0:Grand_Canal_Gongchen_Hangzhou.webm ;; 1:Modern_Course_of_Grand_Canal_of_China.png ;; 2:大運河.png
sci_indian_zero|数学 · 十进位值制与零|628|把什么都没有的空位当成一个真正的数字来算,数学从此换了一副骨架。|0:Hindu_astronomer,_19th-century_illustration.jpg
art_islam_calligraphy|伊斯兰书法|700|伊斯兰书法把材料、技法与观看方式接在一起，留下超越时代的回声。|0:AndalusQuran.JPG ;; 1:KeitenAijin.jpg ;; 2:Folio_from_a_Koran_(8th-9th_century).jpg
eco_islamic_dirham|迪拉姆银币 · 阿拉伯统一货币|700|废掉沿用的旧图案钱币,阿拉伯帝国用一套新钱宣告自己不再是谁的继承者。|0:Silver_Dirham.png ;; 1:Arab-Sasanian_Dirham_in_the_name_of_al-Hajjaj_ibn_Yusuf.jpg
sci_yixing_meridian|天文测量 · 一行测子午线|724|派人跑遍大半个中国立竿测影,他第一次量出了地球子午线的实际长度。|0:Eight_Patriarchs_of_the_Shingon_Sect_of_Buddhism,_I_Hsing_(Nara_National_Museum).jpg ;; 1:Guoqing_Temple,_2014-12-27_51.JPG ;; 2:Mandala1_detail.jpg
art_gregorian|格里高利圣咏|800|格里高利圣咏把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Graduale_Aboense_2.jpg ;; 1:Graduale_Aboense_2.jpg
art_borobudur|婆罗浮屠浮雕|800|婆罗浮屠浮雕把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Borobudur,_Java,_Indonesia,_20220817_1013_8738.jpg ;; 1:Borobudur-Nothwest-view.jpg ;; 2:COLLECTIE_TROPENMUSEUM_Temperaschilderij_voorstellende_de_Borobudur_als_bedevaartsoord_TMnr_75-2.jpg
sci_alkhwarizmi|代数学 · 花拉子米|820|他写了本解方程的教材,书名和名字后来分别变成了代数与算法两个词。|0:Al-Khwarizmi_portrait.jpg ;; 1:Image-Al-Kitāb_al-muḫtaṣar_fī_ḥisāb_al-ğabr_wa-l-muqābala.jpg ;; 2:Dixit_algorizmi.png
sci_gunpowder|火药|850|一群想长生不老的炼丹士,意外配出了后来改写全球战争形态的黑火药。|0:Black_Powder-1.JPG
arc_gunpowder_west|火药技术西传|1250|一个炼丹意外,两百年后变成终结骑士时代的武器。|0:Black_Powder-1.JPG
art_wayang|哇扬皮影戏|900|哇扬皮影戏把材料、技法与观看方式接在一起，留下超越时代的回声。|0:爪哇島重迦羅國王子皮影戲偶.jpg
art_korean_celadon|高丽青瓷|918|高丽青瓷把材料、技法与观看方式接在一起，留下超越时代的回声。|0:청자_어룡_모양_주전자.jpg ;; 1:청자_양각연화당초_상감모란문_은테_발.jpg ;; 2:청자_상감_구름_학무늬_네귀_항아리,_고려,_높이_23.8cm,_본관1984.jpg
eco_swahili_coast|斯瓦希里海岸贸易城邦|950|一串东非港口城市,靠印度洋的季风把黄金、象牙和瓷器编进同一张贸易网。|0:Swahili_coast.png ;; 1:Swahili_coast.png
art_celadon|宋代青瓷|960|宋代青瓷把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Chinese_vessel_(hu),_Han_dynasty,_earthenware_with_glaze,_HAA.JPG ;; 1:Verseuse_phénix_Musée_Guimet_2418.jpg ;; 2:上海博物馆藏汝窑青瓷.JPG
art_romaneseque|罗曼式艺术|1000|罗曼式艺术把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Pisa_Cathedral_&_Leaning_Tower_of_Pisa.jpg ;; 1:Tournai_JPG001.jpg ;; 2:Angoulême_16_Façade_cathédrale_2014.JPG
sci_alhazen|光学 · 海什木的实验方法|1021|他不信古希腊人说的眼睛发光看东西,搭个暗室做实验才算数。|0:Alhazen_(122459248).jpg
sci_albiruni|地球测量 · 比鲁尼|1030|站在一座山顶量个角度,他就把地球半径算了出来,不用绕地球一圈。|0:Al-Biruni_Portrait.jpg ;; 1:Al-Biruni_Portrait.jpg
sci_supernova1054|天文观测 · 天关客星|1054|白天都能看见的一颗新星,中国史官顺手记下的一笔成了后世天文学的坐标。|0:Crab_Nebula.jpg ;; 1:SN_1054_4th_Jul_1054_043000_UTC+0800_Kaifeng_zh.png
art_literati|文人画|1080|文人画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Wang_Wei_001.jpg ;; 1:Ni_Zan_Water_and_Bamboo_Dwelling.jpg
eco_venice_rialto|威尼斯商站 · 里亚尔托与领事网络|1082|一座没有腹地的泻湖城市,靠在别人的港口里派驻自己人赚下差价。|0:Venezianische_Kolonien.png
pol_venice_republic|威尼斯共和国政制|1297|一次"锁门"操作,把统治阶层永久焊死成了一份世袭名单。|0:Venezianische_Kolonien.png
sci_shenkuo|科学笔记 · 沈括与指南针|1088|他发现指南针指的不是正南,这个偏差后来救了远洋船队的命。|0:Beijing_Ancient_Observatory_20090715-19_(cropped).jpg
