id|标题|领域|年份|一句话
modernart|现代主义艺术 · 毕加索—杜尚|art|1907|打碎透视与再现,艺术从"画什么"转向"什么是艺术"。
russrev|俄国革命|pol|1917|第一个马克思主义国家,冷战的一极就此埋下。
worldwars|两次世界大战|pol|1914|工业化战争,旧帝国崩解,世界权力彻底洗牌。
penicillin|抗生素 · 青霉素|sci|1928|感染不再是死刑,人类寿命就此跃升。
turing|计算机 · 图灵|sci|1936|可计算性与通用机器,信息时代的蓝图。
nuke|核武器 · 曼哈顿计划|sci|1945|人类第一次握有自我毁灭的能力。
existential|存在主义 · 萨特—加缪|phi|1945|神死之后,人被判处自由。
dna|DNA 双螺旋|sci|1953|读懂遗传的分子密码,生命科学的世纪由此开幕。
coldwar|冷战|pol|1947|两种制度、两种未来的四十年对峙。
civilrights|民权与平权运动|pol|1960|把"人人平等"的承诺,兑现给此前被排除的人。
internet|互联网与万维网|sci|1991|信息以近乎零成本流动,连接与撕裂同源。
globalization|全球化|eco|1995|供应链、资本与人前所未有地跨境流动。
reform_cn|改革开放与东亚崛起|eco|1978|数亿人脱贫,世界经济重心加速东移。
ai|人工智能|sci|2012|机器开始学习、生成与推理——一个新变量进入所有领域。
climate|气候变化与人类世|sci|2000|人类成了地质力量,文明第一次要为自己的副作用负责。
art_chauvet|肖维岩洞壁画|art|-30000|肖维岩洞壁画把材料、技法与观看方式接在一起，留下超越时代的回声。
art_lascaux|拉斯科洞窟壁画|art|-17000|拉斯科洞窟壁画把材料、技法与观看方式接在一起，留下超越时代的回声。
art_altamira|阿尔塔米拉洞窟壁画|art|-14500|阿尔塔米拉洞窟壁画把材料、技法与观看方式接在一起，留下超越时代的回声。
art_jomon|绳纹陶器|art|-10000|绳纹陶器把材料、技法与观看方式接在一起，留下超越时代的回声。
art_aboriginal|澳洲原住民岩画|art|-10000|澳洲原住民岩画把材料、技法与观看方式接在一起，留下超越时代的回声。
art_san_rock|南非桑人岩画|art|-8000|南非桑人岩画把材料、技法与观看方式接在一起，留下超越时代的回声。
art_tassili|阿杰尔高原岩画|art|-6000|阿杰尔高原岩画把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_money_origin|货币起源 · 美索不达米亚银本位|eco|-3000|先有记账的刻痕,后有能流通的银块——货币先是符号,再是金属。
sci_egypt_calendar|古埃及历法|sci|-2900|看天狼星升起、看尼罗河涨水,人类第一次把一年切成整齐的365天。
art_egypt_tomb|古埃及墓室壁画|art|-2600|古埃及墓室壁画把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_indus_weights|度量衡 · 印度河谷标准化|eco|-2600|没有破译的文字也没留下王名,却留下一整套精确到克的砝码。
eco_pyramid_labor_economy|金字塔劳役经济 · 古埃及动员|eco|-2560|建金字塔的不是奴隶大军,而是国家按季节征调、供饭发薪的轮班工匠。
art_indus_seals|印度河印章|art|-2500|印度河印章把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_babylon_sexagesimal|六十进制记数法 · 巴比伦|sci|-1800|一天24小时、一圈360度,四千年前的记账习惯至今卡在每只钟表里。
art_qin_bronze|商周青铜器|art|-1600|商周青铜器把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_egypt_papyrus|外科医学 · 埃德温·史密斯纸草|sci|-1600|不求神谕只查体征——一份纸草手册把外伤诊治写成了可复制的步骤。
eco_mycenae_linear_b|王室记账 · 迈锡尼线形文字B|eco|-1400|破译出的第一批希腊文字,写的不是诗也不是法律,而是宫殿的库存清单。
eco_shell_knife_money|贝币与刀布 · 商周货币|eco|-1200|海贝从装饰品变成计数单位,稀缺可数比有用更早决定了什么能当钱。
art_olmec_head|奥尔梅克巨石头像|art|-900|奥尔梅克巨石头像把材料、技法与观看方式接在一起，留下超越时代的回声。
art_mesopotamia_relief|亚述宫殿浮雕|art|-865|亚述宫殿浮雕把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_phoenician_trade|腓尼基-迦太基地中海商网|eco|-814|没有大帝国的腹地,靠殖民港口串成的商业网也能主宰地中海几百年。
art_greek_vase|古希腊瓶画|art|-700|古希腊瓶画把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_babylon_astronomy|巴比伦天文观测记录|sci|-700|祭司们记了三百年星象,意外攒出了第一份能预测未来的数据库。
eco_lydia_coin|铸币 · 吕底亚金银币|eco|-600|把贵重金属切成标准小块并盖上王室印记,交易第一次不用再称重验色。
sci_sushruta|外科医学 · 妙闻本集|sci|-600|两千六百年前的印度医书,已经在教人怎么用皮瓣重建鼻子。
eco_daric_persia|大流克金币 · 波斯王室铸币|eco|-515|只有国王能铸金币,行省却能铸银币,帝国把货币分成了两个等级。
art_andean_textile|安第斯纺织艺术|art|-500|安第斯纺织艺术把材料、技法与观看方式接在一起，留下超越时代的回声。
art_nok|诺克陶塑|art|-500|诺克陶塑把材料、技法与观看方式接在一起，留下超越时代的回声。
art_parthenon|帕特农神庙|art|-447|帕特农神庙把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_hippocrates|医学 · 希波克拉底|sci|-400|把疾病归因于体液失衡而非神罚,医生第一次开始对病人负责。
eco_kautilya_arthashastra|治国经济术 ·《政事论》|eco|-300|两千三百年前就有人把国家收支、间谍经费和市场物价写进同一本手册。
sci_euclid|几何学 · 欧几里得|sci|-300|从五条公理推出整座几何大厦,证明的方法比结论本身更改变世界。
sci_dujiangyan|水利工程 · 都江堰|sci|-256|不筑坝拦水,而是顺势分流——两千多年后它还在给成都平原供水。
art_sanchi|桑奇佛塔|art|-250|桑奇佛塔把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_archimedes|力学与数学 · 阿基米德|sci|-250|泡个澡就想通了浮力原理,顺手把杠杆变成了能撬动战争的武器。
sci_eratosthenes|地球测量 · 埃拉托斯特尼|sci|-240|比较两口井的日影角度,他在没有卫星的时代量出了地球有多大。
eco_qin_standard_currency|半两钱 · 秦统一货币度量衡|eco|-221|统一文字车轨之外,秦始皇也不许六国旧钱再流通,国家先从钱袋子开始统一。
art_nazca|纳斯卡线条|art|-200|纳斯卡线条把材料、技法与观看方式接在一起，留下超越时代的回声。
art_han_tomb|汉代画像石|art|-200|汉代画像石把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_apollonius|圆锥曲线 · 阿波罗尼奥斯|sci|-200|切一刀圆锥能得到几种曲线,他写的教材被开普勒用来算行星轨道。
sci_hipparchus|天文学 · 喜帕恰斯|sci|-150|编了一份星表还发现星星在缓慢挪位,春分点比人以为的更会跑。
eco_roman_annona|谷物配给 · 罗马安纳纳|eco|-123|首都两百万张嘴要吃饭,帝国干脆把粮食供应做成跨海行政系统。
eco_han_salt_iron|盐铁官营 · 汉武帝专卖|eco|-119|把盐和铁收归国有,战争经费有了着落,也埋下国家与商人争利的千年争论。
sci_solar_terms|历法 · 二十四节气|sci|-104|把太阳一年的路程切成24段,种地的人从此有了一张精确的时间表。
art_roman_mosaic|古罗马镶嵌画|art|-100|古罗马镶嵌画把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_ostia_maritime_loan|海上借贷 · 罗马发财之约|eco|-100|船沉了债就一笔勾销,古罗马商人用高利率把海难风险明码标价。
sci_zhoubi|数学 · 《周髀算经》|sci|-100|用一根立竿量日影,中国最早的数学书顺手证明了勾三股四弦五。
sci_hero|工程学 · 希罗的蒸汽转球|sci|50|他造出了会转的蒸汽球,却只把它当成神庙里逗人开心的玩具。
eco_periplus_indian_ocean|季风贸易 ·《厄立特里亚海周航记》|eco|60|一本给商人看的航海手册,写下了怎样借季风一年往返红海与印度。
art_moche|莫切陶器|art|100|莫切陶器把材料、技法与观看方式接在一起，留下超越时代的回声。
art_hopewell|霍普韦尔艺术|art|100|霍普韦尔艺术把材料、技法与观看方式接在一起，留下超越时代的回声。
art_gandhara|犍陀罗佛像|art|100|犍陀罗佛像把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_nine_chapters|数学 · 《九章算术》|sci|100|一本写给税吏和工程师的应用题集,悄悄给出了负数和线性方程组解法。
sci_zhangheng|天文仪器 · 张衡地动仪与浑天仪|sci|132|京城的人还没感觉到地震,他造的铜壶已经先吐出了一颗铜球。
sci_ptolemy|天文学 · 托勒密天文学大成|sci|150|一套算错了方向的地心模型,却精准到让人信了一千四百年。
sci_galen|医学 · 盖伦|sci|180|靠解剖猴子和猪推断人体构造,猜错的地方也被当真理供了一千多年。
art_ajanta|阿旃陀石窟壁画|art|200|阿旃陀石窟壁画把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_zhangzhongjing|医学 · 张仲景《伤寒杂病论》|sci|200|一场家族瘟疫死了大半,他把治病经验写成了后世医生人手一册的方子书。
sci_huatuo|医学 · 华佗麻沸散|sci|200|在乙醚问世前一千六百年,他已经能让病人无痛挨这一刀。
art_maya_stela|玛雅石碑艺术|art|250|玛雅石碑艺术把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_maya_cacao|可可豆货币 · 玛雅市场|eco|250|一颗可可豆能当钱花,也能被剥皮造假,中美洲市场很早就有了通胀与假币。
sci_diophantus|代数学 · 丢番图|sci|250|专攻只要整数解的方程,他的名字后来成了数论一整类难题的代号。
eco_aksum_coinage|阿克苏姆铸币 · 红海贸易国|eco|270|撒哈拉以南第一个自己铸钱的王国,靠象牙和黄金把远方的罗马也牵动起来。
eco_solidus_byzantine|索利都斯 · 拜占庭金币|eco|312|一枚金币七百年没有明显贬值,靠的是帝国死守成色不放松。
art_dunhuang|敦煌莫高窟|art|366|敦煌莫高窟把材料、技法与观看方式接在一起，留下超越时代的回声。
art_gupta_sculpture|笈多雕塑|art|400|笈多雕塑把材料、技法与观看方式接在一起，留下超越时代的回声。
art_chinese_landscape|中国山水画|art|400|中国山水画把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_zuchongzhi|数学 · 祖冲之圆周率|sci|480|把圆周率算到小数点后七位,这个纪录在世界上保持了将近一千年。
art_persian_carpet|波斯地毯|art|500|波斯地毯把材料、技法与观看方式接在一起，留下超越时代的回声。
art_byzantine_mosaic|拜占庭镶嵌画|art|537|拜占庭镶嵌画把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_sogdian_network|粟特商团 · 欧亚信用网络|eco|600|没有统一国家护航,靠亲族信用和契约,粟特商人把中亚变成欧亚中转柜台。
eco_grand_canal|大运河 · 隋炀帝漕运|eco|605|一条人工河把江南的米粮接到北方都城,谁控制运河谁就控制帝国的粮袋。
sci_indian_zero|数学 · 十进位值制与零|sci|628|把什么都没有的空位当成一个真正的数字来算,数学从此换了一副骨架。
art_islam_calligraphy|伊斯兰书法|art|700|伊斯兰书法把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_islamic_dirham|迪拉姆银币 · 阿拉伯统一货币|eco|700|废掉沿用的旧图案钱币,阿拉伯帝国用一套新钱宣告自己不再是谁的继承者。
sci_yixing_meridian|天文测量 · 一行测子午线|sci|724|派人跑遍大半个中国立竿测影,他第一次量出了地球子午线的实际长度。
art_islam_geometry|伊斯兰几何纹样|art|800|伊斯兰几何纹样把材料、技法与观看方式接在一起，留下超越时代的回声。
art_gregorian|格里高利圣咏|art|800|格里高利圣咏把材料、技法与观看方式接在一起，留下超越时代的回声。
art_borobudur|婆罗浮屠浮雕|art|800|婆罗浮屠浮雕把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_alkhwarizmi|代数学 · 花拉子米|sci|820|他写了本解方程的教材,书名和名字后来分别变成了代数与算法两个词。
art_chola_bronze|朱罗王朝青铜像|art|850|朱罗王朝青铜像把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_gunpowder|火药|sci|850|一群想长生不老的炼丹士,意外配出了后来改写全球战争形态的黑火药。
art_wayang|哇扬皮影戏|art|900|哇扬皮影戏把材料、技法与观看方式接在一起，留下超越时代的回声。
art_korean_celadon|高丽青瓷|art|918|高丽青瓷把材料、技法与观看方式接在一起，留下超越时代的回声。
art_khajuraho|克久拉霍神庙雕刻|art|950|克久拉霍神庙雕刻把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_swahili_coast|斯瓦希里海岸贸易城邦|eco|950|一串东非港口城市,靠印度洋的季风把黄金、象牙和瓷器编进同一张贸易网。
art_celadon|宋代青瓷|art|960|宋代青瓷把材料、技法与观看方式接在一起，留下超越时代的回声。
art_romaneseque|罗曼式艺术|art|1000|罗曼式艺术把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_alhazen|光学 · 海什木的实验方法|sci|1021|他不信古希腊人说的眼睛发光看东西,搭个暗室做实验才算数。
sci_albiruni|地球测量 · 比鲁尼|sci|1030|站在一座山顶量个角度,他就把地球半径算了出来,不用绕地球一圈。
sci_supernova1054|天文观测 · 天关客星|sci|1054|白天都能看见的一颗新星,中国史官顺手记下的一笔成了后世天文学的坐标。
art_literati|文人画|art|1080|文人画把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_venice_rialto|威尼斯商站 · 里亚尔托与领事网络|eco|1082|一座没有腹地的泻湖城市,靠在别人的港口里派驻自己人赚下差价。
sci_shenkuo|科学笔记 · 沈括与指南针|sci|1088|他发现指南针指的不是正南,这个偏差后来救了远洋船队的命。
art_ife|伊费头像艺术|art|1100|伊费头像艺术把材料、技法与观看方式接在一起，留下超越时代的回声。
art_angkor|吴哥窟浮雕|art|1113|吴哥窟浮雕把材料、技法与观看方式接在一起，留下超越时代的回声。
art_gothic_cathedral|哥特式大教堂|art|1140|哥特式大教堂把材料、技法与观看方式接在一起，留下超越时代的回声。
art_stained_glass|彩色玻璃艺术|art|1150|彩色玻璃艺术把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_templar_finance|圣殿骑士团 · 中世纪跨国金融|eco|1150|一个宗教军事团体,靠各国分部间的信用凭证做起了替人跑腿的银行生意。
eco_champagne_fairs|香槟集市 · 中世纪贸易节律|eco|1180|法国伯爵的地盘上,商人一年赶六场集市,把整个欧洲的清算周期定了下来。
art_batik|蜡染艺术|art|1200|蜡染艺术把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_fibonacci_liber_abaci|商用算术 ·《计算之书》|eco|1202|一个比萨商人的儿子用阿拉伯数字包装出做生意的手册,欧洲从此丢了算盘。
sci_fibonacci|数学 · 斐波那契数字西传|sci|1202|一个跟父亲在北非做生意的比萨商人之子,把阿拉伯数字硬生生带回了欧洲账本。
sci_aljazari|机械工程 · 加扎利的自动机械|sci|1206|会自动倒水的机器人侍女、能记谱演奏的机械乐队,他画满了一整本图纸。
eco_mongol_yam|站赤驿传 · 蒙古商道整合|eco|1240|帝国用一张驿站网络把商路的治安成本压到最低,史称蒙古治世。
sci_ibnalnafis|生理学 · 伊本·纳菲斯的肺循环|sci|1242|他指出血液必须先绕道肺部才能回到心脏,比哈维早了近四百年。
art_benin_bronze|贝宁青铜器|art|1250|贝宁青铜器把材料、技法与观看方式接在一起，留下超越时代的回声。
art_persian_miniature|波斯细密画|art|1250|波斯细密画把材料、技法与观看方式接在一起，留下超越时代的回声。
art_maori|毛利木雕|art|1250|毛利木雕把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_yuan_chao|交钞 · 蒙元纸币帝国|eco|1260|忽必烈让白银退出流通,强制全国只认一种纸,马可·波罗都为此惊讶。
sci_abacus|计算工具 · 珠算|sci|1274|十个指头拨几下算盘珠,比后来很多计算器都算得快。
sci_guoshoujing|历法 · 郭守敬《授时历》|sci|1280|他重新测遍全国星象,算出的一年长度和现代公历只差26秒。
art_ethiopic_icon|埃塞俄比亚圣像画|art|1300|埃塞俄比亚圣像画把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_great_zimbabwe|大津巴布韦 · 黄金象牙贸易国|eco|1300|内陆高原上一座石头都城,出土的中国瓷片证明黄金贸易能绕开海岸线照样繁荣。
eco_mali_gold|马里帝国 · 黄金盐贸易|eco|1324|一位国王朝觐路上撒出的黄金太多,竟拖累了开罗当地十几年的金价。
eco_hanseatic_league|汉萨同盟 · 北海波罗的海商圈|eco|1358|没有军队没有国王,几百座商业城市靠共同规则就能左右北欧贸易。
art_nuo|能剧|art|1375|能剧把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_medici_bank|美第奇银行 · 佛罗伦萨金融霸权|eco|1397|教会禁止放贷收息,美第奇家族就靠汇兑差价把银行做成半个欧洲的钱庄。
eco_yap_stone_money|雅浦石币 · 太平洋岛屿货币|eco|1400|钱币大到搬不动,岛民干脆记住它是谁的就够了,所有权比占有更早成了信用核心。
art_oil_paint|尼德兰油画|art|1420|尼德兰油画把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_alkashi_pi|数学 · 阿尔·卡西的圆周率|sci|1424|他把圆周率再往后多算了九位,顺带终结了祖冲之保持近千年的纪录。
eco_inca_mita|米塔劳役 · 印加无货币经济|eco|1438|没有市场没有货币,印加帝国靠记录绳结和轮班劳役修出跨越山脉的路网。
eco_aztec_market|特拉特洛尔科市场 · 阿兹特克商业|eco|1450|西班牙人第一次见到这座湖上市场时,难以相信新大陆的集市比塞维利亚还大。
art_aztec_sun|阿兹特克太阳石|art|1479|阿兹特克太阳石把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_double_entry|复式记账 · 帕乔利《数学大全》|eco|1494|每一笔钱都要同时记两次,借贷相等才算平账,公司财报的语法就此定型。
eco_ottoman_iltizam|包税制 · 奥斯曼财政治理|eco|1520|帝国懒得自己收税,把收税权拍卖给出价最高的人,效率有了盘剥也来了。
sci_vesalius|解剖学 · 维萨里|sci|1543|他亲自解剖尸体后发现,统治医学一千多年的教科书里有两百多处错。
eco_potosi_silver|白银帝国 · 波托西与价格革命|eco|1545|一座安第斯山里的银矿,把全世界头一次真正接进了同一张价格表。
art_blue_mosque_tiles|伊兹尼克瓷砖|art|1550|伊兹尼克瓷砖把材料、技法与观看方式接在一起，留下超越时代的回声。
art_mughal_miniature|莫卧儿细密画|art|1560|莫卧儿细密画把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_mughal_zabt|田赋改革 · 莫卧儿扎布特制|eco|1580|皇帝按土地十年产量的平均数定税额,把庞大帝国的财政做成了统一表格。
sci_tycho|天文观测 · 第谷·布拉赫|sci|1580|望远镜发明之前,他用肉眼积累的观测数据精度已经逼近极限。
sci_bencao|本草学 · 李时珍《本草纲目》|sci|1596|花了近三十年跋山采药,他把一千八百多种药物重新分了类、纠了错。
art_opera|歌剧诞生|art|1598|歌剧诞生把材料、技法与观看方式接在一起，留下超越时代的回声。
art_rajasthani|拉贾斯坦细密画|art|1600|拉贾斯坦细密画把材料、技法与观看方式接在一起，留下超越时代的回声。
art_barock|巴洛克艺术|art|1600|巴洛克艺术把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_voc_joint_stock|股份公司 · 荷兰东印度公司|eco|1602|把一次远航的风险拆成可买卖的小份额,股份公司从此比商人更能扛住沉船。
art_kabuki|歌舞伎|art|1603|歌舞伎把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_amsterdam_exchange|阿姆斯特丹交易所 · 做空雏形|eco|1609|有人抢先卖出自己还没买到的股票,交易所诞生第一年就学会了做空。
sci_kepler|天体力学 · 开普勒行星运动定律|sci|1609|行星走的根本不是正圆,他用第谷留下的数据硬算出了椭圆轨道。
sci_harvey|生理学 · 哈维发现血液循环|sci|1628|血液不是被身体不断吃掉重造,而是绕着圈子一直循环流动。
eco_tulip_mania|郁金香泡沫 · 期货炒作|eco|1637|一颗还埋在土里的球茎,靠一纸期货合同就能被反复转手炒到房价的价钱。
sci_tiangong_kaiwu|技术图册 · 《天工开物》|sci|1637|从种田到炼铁到织布,一本书把整个帝国的生产技术都画成了图解。
sci_torricelli|物理学 · 托里拆利气压实验|sci|1643|把一根灌满水银的玻璃管倒扣进水银槽,他意外做出了第一个真空。
art_kathakali|卡塔卡利舞剧|art|1650|卡塔卡利舞剧把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_indian_textile_trade|印度棉纺织品 · 全球贸易网络|eco|1650|工业革命之前,全世界穿的印花棉布大多来自印度作坊而不是欧洲工厂。
sci_pascal_probability|数学 · 帕斯卡与概率论|sci|1654|一个赌徒提的分赌金难题,被两位数学家写成了整套概率论。
eco_caribbean_sugar|加勒比蔗糖种植园经济|eco|1655|一勺糖背后是整套跨大西洋的资本与强制劳动流水线,种植园比工厂更早搞出流程化生产。
sci_boyle|化学 · 波义耳与气体定律|sci|1662|他把化学从炼金术士的秘方堆里拽出来,逼它像数学一样讲证据。
eco_mercantilism|重商主义 · 国家贸易保护政策|eco|1664|一个国家的财富被算成金银库存的多少,出口被鼓励、进口被处处设卡。
art_ukiyoe|浮世绘|art|1670|浮世绘把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_microscope|显微镜 · 列文虎克发现微生物|sci|1674|磨了一辈子镜片的布商,在水滴里看见了一个没人知道存在的世界。
sci_huygens|光学 · 惠更斯的波动说|sci|1678|牛顿说光是粒子,他偏说光是波,两人的争论吵了一百多年才有答案。
eco_lloyds_insurance|劳合社 · 海上保险起源|eco|1688|一家卖咖啡的小店,靠往来的船东和保险商聊出了全球最大的保险市场。
eco_bank_of_england|英格兰银行 · 中央银行雏形|eco|1694|国王缺钱打仗,商人凑钱放贷换来印钞特许权,中央银行就这样跟国债一起出生。
eco_john_law_mississippi|密西西比公司 · 约翰·劳的纸币实验|eco|1716|一个逃亡的苏格兰赌徒说服法国用纸币替代金银,结果泡沫破得比郁金香还快。
eco_south_sea_bubble|南海泡沫 · 英国股市狂热|eco|1720|一家几乎没做成南美生意的公司,靠承诺帮政府还债把股价炒上了天,牛顿也未能全身而退。
sci_linnaeus|生物分类法 · 林奈|sci|1735|给每种生物起一个属加种的双名,混乱的自然界从此有了一张身份证。
sci_lind_scurvy|医学 · 林德与坏血病对照实验|sci|1747|把病号分成六组分别喂不同的药,他用一艘船做出了史上第一次对照试验。
sci_franklin_electricity|电学 · 富兰克林的风筝实验|sci|1752|放风筝放出了雷电的秘密,他顺手发明了能保命的避雷针。
eco_canton_system|广州十三行 · 一口通商|eco|1757|清廷把整个西方贸易压缩进一个口岸,顺差滚滚而来也埋下炮舰外交的引信。
eco_eic_bengal|东印度公司 · 从商站到殖民税制|eco|1757|一家做胡椒生意的公司,靠一场战役的胜利意外拿到了替皇帝收税的资格。
sci_lavoisier|化学 · 拉瓦锡与现代化学|sci|1789|他把炼金术最后一点玄学味道过秤称掉了——质量守恒,不多不少。
eco_assignats|阿西尼亚纸币 · 法国大革命通胀|eco|1790|没收教会土地作抵押发的纸币,印得比土地能卖出的价钱快得多,最后连纸都不如。
eco_wall_street_origin|华尔街 · 梧桐树协议|eco|1792|二十四人在一棵梧桐树下签约定佣金,华尔街的规矩比大楼早了一百年。
sci_jenner|疫苗 · 詹纳牛痘接种|sci|1796|挤奶女工从不出天花,他从这个乡间传闻里提炼出了整套疫苗原理。
sci_cavendish|物理学 · 卡文迪什称量地球|sci|1798|用两个吊着的铅球测出万有引力常数,他等于是把地球放上了秤。
sci_volta_battery|电学 · 伏打电堆|sci|1800|把锌片铜片和盐水布叠成一摞,他造出了世界上第一个能持续放电的电池。
sci_dalton|原子论 · 道尔顿|sci|1803|他把元素想象成一颗颗实心小球,现代化学从此有了看不见的积木。
art_beethoven|贝多芬交响乐|art|1804|贝多芬交响乐把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_gold_standard|金本位 · 英国率先确立|eco|1821|英镑说能换多少黄金就真能换,别国想跟它做生意,只好也把货币钉在金价上。
sci_fourier|数学 · 傅里叶级数|sci|1822|他证明再复杂的波形都能拆成一堆简单的正弦波叠加,信号处理的地基就此打下。
eco_railway|铁路 · 斯托克顿-达灵顿蒸汽运输|eco|1825|一条运煤的铁轨顺便捎上乘客,陆地运输的速度和成本从此不再由马腿决定。
